denominazione_regione,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08
Abruzzo,7.55,8.62,8.46,8.46,7.32,7.4,5.41,5.49,4.42,4.27,4.42,4.65,3.74,4.5,5.34,6.71,6.63,7.01,8.39,9.45,9.23,8.46,9.53,9.53,9.0,8.92,9.38,9.76,9.61,9.0,9.84,10.6,8.92,7.93,8.69,8.62,9.45,8.39,8.77,9.99,11.51,12.96,12.12,9.3,14.72,14.72,15.02,13.95,13.72,14.94,18.53,13.34,12.96,12.96,13.95,13.8,15.78,15.02,17.0,19.67,22.57,
Basilicata,4.26,4.09,4.09,4.26,4.09,4.26,1.24,1.78,1.6,1.6,2.49,2.66,2.84,2.13,1.95,3.02,3.02,2.49,2.84,3.55,4.26,4.62,3.91,3.91,3.38,3.2,4.8,5.33,5.69,7.11,7.28,8.71,10.84,9.24,10.13,9.77,8.71,8.53,7.99,6.4,6.22,4.09,3.73,4.26,4.44,6.04,8.17,8.88,11.19,15.1,22.39,23.45,22.03,24.69,28.96,29.49,33.76,27.89,29.14,28.78,25.76,
Calabria,0.92,0.87,0.98,1.44,1.54,2.05,2.67,2.98,3.13,3.24,2.93,3.24,3.13,2.26,2.31,2.57,2.47,2.62,2.52,2.31,2.72,2.72,4.06,4.67,5.39,6.63,6.98,7.45,7.86,7.5,7.65,6.93,6.27,6.01,5.44,5.39,4.72,4.01,3.8,3.8,4.21,5.24,5.6,6.01,6.47,7.5,7.5,7.14,6.21,5.7,6.16,5.8,5.08,5.03,5.44,5.85,6.32,5.7,6.63,7.29,7.19,
Campania,0.79,1.05,1.22,1.59,1.95,2.33,2.83,3.05,3.46,3.81,4.02,4.48,4.93,5.33,6.07,7.65,9.07,10.84,12.2,13.53,15.53,17.72,19.99,21.17,20.55,20.24,21.32,21.11,19.93,17.0,18.31,20.84,22.32,22.1,21.56,21.29,21.67,18.74,16.79,16.5,16.75,17.93,18.72,19.56,22.2,22.55,23.61,23.61,24.39,26.54,27.82,28.72,30.96,31.63,34.99,37.39,39.57,42.45,44.8,46.68,51.11,
Emilia-Romagna,7.31,7.78,7.89,7.38,7.24,6.79,6.86,7.47,7.06,7.11,7.15,7.94,8.27,8.84,9.04,10.74,12.42,13.36,14.35,17.02,18.81,20.36,19.96,19.98,20.79,20.5,19.31,18.48,18.12,18.46,18.79,18.68,18.72,18.54,19.15,19.26,19.64,19.53,20.23,20.16,20.16,19.46,19.33,18.75,18.5,16.93,16.82,16.57,16.59,15.85,15.43,14.73,15.67,15.67,15.76,16.68,18.19,20.05,21.89,23.57,25.63,
Friuli Venezia Giulia,3.37,3.13,3.13,2.96,2.96,3.62,3.95,4.69,4.77,5.18,5.76,5.92,5.84,8.15,9.63,10.94,10.7,10.62,12.43,13.33,11.93,10.86,10.2,10.45,11.11,10.04,10.04,10.37,12.75,13.08,13.58,13.17,15.96,17.12,18.02,17.2,19.26,18.68,19.34,17.28,19.26,19.67,19.17,18.1,18.84,18.35,20.65,17.77,17.61,19.34,19.01,18.1,19.26,16.87,19.26,21.64,21.4,23.21,24.77,26.66,30.28,
Lazio,2.02,2.38,2.77,2.87,3.3,3.61,4.03,4.68,5.19,5.41,5.75,6.4,7.74,9.3,11.97,13.95,15.56,17.26,18.74,19.37,19.87,19.12,18.64,18.68,18.37,17.83,17.86,17.94,17.72,17.15,17.33,17.4,18.17,18.32,17.93,17.88,18.23,18.61,18.78,18.61,18.91,19.68,20.39,20.77,21.06,22.74,23.25,24.09,24.71,25.09,25.36,25.58,25.26,25.51,26.11,26.69,27.4,28.47,29.1,30.06,32.56,
Liguria,2.97,3.03,3.55,3.93,5.16,8.38,9.09,10.96,11.29,11.67,12.7,12.96,10.9,10.96,11.03,12.06,12.7,11.74,12.45,12.83,14.45,15.28,16.9,18.06,18.51,18.9,17.93,17.99,21.09,24.83,25.8,28.7,28.96,34.89,37.15,38.24,36.11,36.5,41.47,42.89,38.11,43.01,40.82,41.27,41.21,38.89,41.14,45.14,39.66,40.89,38.31,41.21,40.18,36.5,37.08,41.4,45.59,50.5,50.37,55.59,63.65,
Lombardia,5.06,5.39,5.45,5.69,5.33,4.89,5.17,5.35,5.25,5.37,5.19,5.08,5.88,6.64,7.55,9.32,9.99,10.68,12.45,13.76,15.18,16.21,16.17,16.42,17.65,17.33,16.75,16.96,17.94,17.58,17.32,17.61,17.42,17.59,16.79,15.6,16.27,16.43,15.49,14.9,15.26,14.93,14.67,14.13,13.78,13.84,14.21,13.69,14.22,14.35,14.4,14.69,14.9,14.95,15.89,16.19,17.56,18.53,19.85,21.31,24.49,
Marche,3.21,3.74,3.87,4.0,4.65,4.79,5.51,6.03,5.31,5.7,6.43,5.84,5.97,4.98,4.92,4.92,4.59,4.33,4.46,7.61,7.61,7.74,8.39,8.33,8.65,9.18,6.56,6.56,7.87,8.2,8.46,8.39,8.52,9.77,11.34,11.01,12.26,12.59,12.52,13.77,13.57,12.78,12.59,12.06,12.46,12.72,12.33,11.01,11.28,11.41,10.95,10.16,10.69,10.1,10.82,11.41,13.57,15.87,16.98,17.57,21.57,
Molise,1.96,1.31,0.65,0.65,0.33,2.29,1.96,2.62,2.62,2.62,5.56,7.85,7.2,7.85,7.53,7.85,7.85,4.91,5.56,4.58,4.25,4.58,4.58,4.58,5.56,2.62,2.94,3.93,3.27,3.6,6.54,6.54,7.85,8.18,8.18,9.16,9.49,7.85,7.2,7.85,7.53,7.2,7.85,7.2,16.03,16.36,15.38,16.03,16.69,16.69,18.65,9.82,9.49,10.47,9.49,9.16,7.53,10.14,9.49,11.13,9.49,
P.A. Bolzano,7.72,8.47,7.53,6.59,6.4,4.52,4.33,5.08,5.46,5.65,5.46,6.02,9.6,9.98,11.86,12.61,15.06,16.76,16.38,14.12,14.68,12.8,11.86,9.6,10.35,11.3,10.35,10.92,13.55,13.37,12.8,11.11,11.11,14.12,16.94,17.32,23.53,24.85,28.05,28.43,27.49,36.15,36.33,32.57,35.02,32.57,37.28,38.22,34.45,35.02,35.39,36.33,36.33,32.57,34.26,28.43,27.49,29.37,27.86,29.56,36.71,
P.A. Trento,3.33,2.96,2.77,2.77,2.59,2.22,2.03,1.85,1.48,1.48,1.48,1.85,2.22,2.4,4.07,4.62,4.62,4.81,5.73,7.76,9.98,10.9,11.83,12.38,12.38,17.19,31.23,32.53,39.73,44.35,46.76,46.76,41.95,40.29,41.4,35.67,31.23,31.79,34.93,39.55,38.44,36.41,36.41,43.06,39.73,40.66,38.81,29.02,29.94,35.3,34.74,38.07,35.85,38.63,43.25,46.2,48.24,46.76,52.12,57.11,56.18,
Piemonte,3.37,3.9,4.06,4.48,4.96,5.05,4.55,4.91,4.96,4.87,4.89,4.89,5.49,6.04,5.9,5.95,6.5,7.18,7.94,8.77,9.96,11.09,11.5,11.43,11.09,10.88,10.58,10.38,9.55,9.46,9.46,9.46,10.51,10.49,9.92,10.81,11.41,11.96,11.89,12.01,11.91,13.52,13.08,13.45,13.36,14.39,13.89,14.67,14.51,15.26,16.05,16.89,17.26,18.98,19.12,21.39,25.34,26.28,27.09,30.74,33.42,
Puglia,1.84,1.86,2.28,2.61,2.85,3.08,3.1,3.43,3.57,3.03,3.03,3.03,3.13,3.7,3.7,4.14,5.16,5.88,6.33,7.0,7.4,8.46,9.36,9.18,8.94,9.33,10.1,11.74,11.49,11.27,11.39,13.97,14.72,14.52,13.65,14.17,14.72,15.16,13.5,13.65,13.48,13.53,14.32,13.53,14.02,13.8,13.45,13.7,13.85,12.43,13.08,13.3,13.53,13.77,14.79,14.35,15.83,17.7,17.52,18.27,20.67,
Sardegna,1.4,1.52,1.52,2.62,2.13,2.99,3.11,3.42,3.29,3.6,3.11,5.31,5.37,7.62,10.0,14.7,19.82,21.16,22.14,24.4,25.19,26.77,23.18,22.44,23.42,24.64,23.66,24.34,24.03,23.85,22.63,22.69,21.1,22.57,22.51,21.65,22.51,22.2,21.29,20.07,19.33,19.4,19.88,22.26,22.87,23.91,25.25,26.17,25.62,25.86,29.95,28.3,30.07,30.19,32.02,32.2,32.14,30.43,33.54,32.39,35.44,
Sicilia,2.52,2.96,3.54,5.12,5.28,5.52,5.7,6.06,6.26,5.9,4.38,4.7,4.6,4.76,4.8,4.72,5.74,5.96,5.72,5.98,6.18,5.8,5.78,5.0,5.18,6.18,6.26,6.74,8.44,8.5,8.96,9.98,9.86,10.9,11.42,10.02,10.5,10.82,10.68,10.94,10.74,12.24,13.32,14.42,14.62,15.24,15.22,15.8,14.36,14.6,14.42,14.96,16.06,17.68,18.3,18.96,20.4,19.96,20.48,21.18,22.04,
Toscana,8.77,13.62,13.43,14.46,16.51,17.53,18.75,20.14,17.63,18.84,19.68,20.33,23.22,28.16,29.56,31.89,34.04,34.32,45.6,49.33,49.61,53.25,56.89,59.59,60.15,51.57,52.88,54.46,56.42,58.66,59.78,61.55,63.32,61.36,65.84,68.17,65.28,62.86,61.18,61.36,63.88,59.41,59.87,65.1,67.43,70.5,70.5,73.95,77.69,74.61,70.32,70.41,68.73,71.53,70.41,78.24,86.36,94.47,103.8,118.07,134.85,
Umbria,2.95,3.51,3.97,3.85,4.31,4.76,4.99,5.33,4.88,4.42,5.44,5.22,6.35,7.94,8.5,10.32,11.45,13.61,15.42,15.76,15.76,15.08,16.44,16.21,14.06,14.85,13.61,15.08,15.53,14.85,15.31,14.97,15.65,17.35,15.31,17.23,17.12,17.01,18.71,16.89,16.67,17.12,17.01,17.01,16.21,16.67,16.89,17.69,17.91,18.25,17.91,18.59,18.25,21.31,23.24,27.66,28.46,34.24,35.15,39.57,41.72,
Valle d'Aosta,6.37,5.57,6.37,6.37,6.37,5.57,2.39,0.8,0.8,0.8,0.8,2.39,3.18,3.18,3.18,3.18,2.39,3.98,2.39,2.39,3.98,7.17,8.76,15.92,14.33,15.92,18.31,18.31,15.13,13.53,6.37,10.35,8.76,5.57,6.37,7.17,8.76,11.15,9.55,10.35,11.15,15.13,14.33,15.13,14.33,12.74,13.53,15.13,9.55,18.31,15.92,15.13,20.7,23.88,22.29,30.25,21.5,27.07,36.62,34.23,41.4,
Veneto,8.81,9.07,9.03,9.95,10.33,10.86,9.72,10.88,11.29,11.82,11.72,11.7,13.23,13.0,13.82,15.19,16.61,17.82,19.61,19.06,19.45,19.26,18.53,17.49,17.04,17.37,17.02,19.83,20.59,22.01,22.1,22.26,20.79,21.44,19.41,18.39,17.63,17.35,17.55,18.94,18.16,18.22,19.2,19.83,20.81,20.89,20.71,23.54,23.95,24.56,24.28,25.91,26.34,26.44,30.45,30.35,31.57,33.65,34.61,35.61,40.09,
